Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
16,Bermuda,146.04,98.58,123.8,148.66,159.17,81.07
120,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44
91,Norway,100.9,34.68,69.86,97.31,105.49,83.11
52,Iceland,94.86,41.93,70.05,90.22,99.42,77.06
12,Barbados,92.37,21.99,59.38,87.81,78.18,32.08
63,Jersey,92.02,65.33,79.51,76.88,94.65,79.14
58,Israel,88.05,33.94,62.69,76.72,95.31,75.58
33,Denmark,84.12,33.23,60.26,68.6,98.75,99.45
9,Bahamas,84.0,35.34,61.19,70.59,89.09,45.07
110,Singapore,83.98,66.43,75.75,77.08,61.17,91.34
